census_tract,num_bll_indicator,perc_bll_indicator,num_bll,tract_name,imprisonment_rt,total_pop_2020,male_population,median_age,white,black,native_am,asian,pac_islander,other_race,age_0_to_14,age_15_to_29,age_30_to_44,age_45_to_64,perc_male,med_income,POC_other,race_categorical
06037131100,0,0,124,"Los Angeles County, Census Tract 1311",122,3264,1617,41.2,47,3.2,1.1,10.3,0.2,22.1,15.9,18,21.700000000000003,28.700000000000003,49.54044117647059,91989,26.400000000000002,above_median_poc_other
06067002300,3,3.296703296703297,91,"Sacramento County, Census Tract 23",383,3380,1595,44.9,73.4,1.4,0.6,7.8,0.2,3.5,14.099999999999998,11,25.2,29.800000000000004,47.18934911242604,120781,5.5,below_median_poc_other
06059011718,2,1.3333333333333335,150,"Orange County, Census Tract 117.18",30,3291,1598,42.7,61.4,1.3,0.4,14.7,0.1,5.9,18,16.3,18.6,27.7,48.55666970525676,131094,7.6000000000000005,below_median_poc_other
06037433901,16,5.423728813559322,295,"Los Angeles County, Census Tract 4339.01",313,5097,2572,32.1,12.7,0.6,3,21.3,0,47.2,22.6,24.1,20.6,24.200000000000003,50.46105552285658,49621,50.800000000000004,above_median_poc_other
06085503709,3,0.7633587786259541,393,"Santa Clara County, Census Tract 5037.09",189,6878,3328,35.3,7.4,2,1.6,61.4,0.5,19.8,16.1,23.5,22.700000000000003,22.4,48.38615876708345,36780,23.400000000000002,above_median_poc_other
06053011400,2,5.88235294117647,34,"Monterey County, Census Tract 114",256,3113,1673,45,63.9,1.5,2.1,1.9,0.6,19.4,18,15.9,16,27.6,53.74237070350144,73750,23,below_median_poc_other
06037602513,2,3.076923076923077,65,"Los Angeles County, Census Tract 6025.13",749,1590,762,32,8.7,33.8,1.3,2.5,1.1,39.9,21,25,24.499999999999996,23.400000000000002,47.924528301886795,51500,75,above_median_poc_other
06083002802,7,2.6923076923076925,260,"Santa Barbara County, Census Tract 28.02",211,7574,3727,37,46.2,3.9,1.9,6.6,0.3,22.9,20,20.4,18.6,25.7,49.2078162133615,89338,28.7,above_median_poc_other
06085505006,48,5.9405940594059405,808,"Santa Clara County, Census Tract 5050.06",151,11912,6389,32.2,23.5,1.8,0.2,65.7,0.1,2.8,13.4,24.8,45.7,13.2,53.63498992612492,169080,4.8,below_median_poc_other
06037271901,2,2.4691358024691357,81,"Los Angeles County, Census Tract 2719.01",174,2861,1441,36.7,48.5,4.7,1,18.5,0.2,13.9,12.1,24.3,26.699999999999996,21.9,50.367004543865775,96699,19.6,below_median_poc_other
